"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","521843"
"kwazulu-natal","Private Health","1201836"
"western cape","Private Health","1864847"
"limpopo","Private Health","580936"
"northern cape","Public Health","558141"
"gauteng","Private Health","4423568"
"kwazulu-natal","Public Health","4340555"
"free state","Public Health","1759483"
"north west","Public Health","1708399"
"gauteng","Public Health","5597651"
"mpumalanga","Private Health","389255"
"mpumalanga","Public Health","1769418"
"northern cape","Private Health","152699"
"eastern cape","Private Health","671526"
"western cape","Public Health","3575293"
"limpopo","Public Health","2952714"
"free state","Private Health","384477"
"eastern cape","Public Health","3291887"
