"vaccine_manufacturer","vaccine_rollout_phase","province","age_group","total_number_first_doses_administered","total_number_second_doses_administered","total_number_booster_doses_administered","total_number_vaccines_administered"
"Janssen Vaccines & Prevention B.V","National","eastern cape","Adults","838927","0","110075","949002"
"Janssen Vaccines & Prevention B.V","National","free state","Adults","454378","0","69919","524297"
"Janssen Vaccines & Prevention B.V","National","gauteng","Adults","1363789","0","168076","1531865"
"Janssen Vaccines & Prevention B.V","National","kwazulu-natal","Adults","1113031","0","137972","1251003"
"Janssen Vaccines & Prevention B.V","National","limpopo","Adults","1026557","0","112497","1139054"
"Janssen Vaccines & Prevention B.V","National","mpumalanga","Adults","775012","0","88503","863515"
"Janssen Vaccines & Prevention B.V","National","northern cape","Adults","201323","0","22492","223815"
"Janssen Vaccines & Prevention B.V","National","north west","Adults","679259","0","91532","770791"
"Janssen Vaccines & Prevention B.V","National","western cape","Adults","643054","0","93430","736484"
"Janssen Vaccines & Prevention B.V","Sisonke","eastern cape","Adults","60856","0","24220","85076"
"Janssen Vaccines & Prevention B.V","Sisonke","free state","Adults","24390","0","12199","36589"
"Janssen Vaccines & Prevention B.V","Sisonke","gauteng","Adults","137319","0","65377","202696"
"Janssen Vaccines & Prevention B.V","Sisonke","kwazulu-natal","Adults","94477","0","40018","134495"
"Janssen Vaccines & Prevention B.V","Sisonke","limpopo","Adults","34181","0","17016","51197"
"Janssen Vaccines & Prevention B.V","Sisonke","mpumalanga","Adults","21890","0","7150","29040"
"Janssen Vaccines & Prevention B.V","Sisonke","northern cape","Adults","9464","0","4455","13919"
"Janssen Vaccines & Prevention B.V","Sisonke","north west","Adults","23464","0","8964","32428"
"Janssen Vaccines & Prevention B.V","Sisonke","western cape","Adults","94518","0","61528","156046"
"Pfizer","National","eastern cape","Adults","1311943","1095865","182941","2590749"
"Pfizer","National","eastern cape","12-17 Years","263741","74845","0","338586"
"Pfizer","National","free state","12-17 Years","166804","68859","0","235663"
"Pfizer","National","free state","Adults","659750","575884","111777","1347411"
"Pfizer","National","gauteng","12-17 Years","381099","153959","7","535065"
"Pfizer","National","gauteng","Adults","3845690","3317385","588518","7751593"
"Pfizer","National","kwazulu-natal","Adults","1928038","1593782","276872","3798692"
"Pfizer","National","kwazulu-natal","12-17 Years","262591","95606","4","358201"
"Pfizer","National","limpopo","Adults","1021081","856284","141141","2018506"
"Pfizer","National","limpopo","12-17 Years","250743","74150","0","324893"
"Pfizer","National","mpumalanga","12-17 Years","136135","37068","0","173203"
"Pfizer","National","mpumalanga","Adults","556097","455507","81311","1092915"
"Pfizer","National","northern cape","12-17 Years","29686","8766","0","38452"
"Pfizer","National","northern cape","Adults","219841","187530","27283","434654"
"Pfizer","National","north west","12-17 Years","149430","46171","0","195601"
"Pfizer","National","north west","Adults","610082","526762","94578","1231422"
"Pfizer","National","western cape","12-17 Years","130565","49712","1","180278"
"Pfizer","National","western cape","Adults","2097219","1836838","433275","4367332"
