"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","678"
"eastern cape","Public Health","7202"
"free state","Private Health","644"
"free state","Public Health","3418"
"gauteng","Private Health","4636"
"gauteng","Public Health","7914"
"kwazulu-natal","Private Health","1003"
"kwazulu-natal","Public Health","5956"
"limpopo","Private Health","1064"
"limpopo","Public Health","4893"
"mpumalanga","Private Health","437"
"mpumalanga","Public Health","4541"
"northern cape","Private Health","278"
"northern cape","Public Health","613"
"north west","Private Health","723"
"north west","Public Health","2930"
"western cape","Private Health","2034"
"western cape","Public Health","3056"
