"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","331"
"eastern cape","Public Health","5346"
"free state","Private Health","197"
"free state","Public Health","1678"
"gauteng","Private Health","2069"
"gauteng","Public Health","4425"
"kwazulu-natal","Private Health","475"
"kwazulu-natal","Public Health","5472"
"limpopo","Private Health","334"
"limpopo","Public Health","5164"
"mpumalanga","Private Health","257"
"mpumalanga","Public Health","3077"
"northern cape","Private Health","61"
"northern cape","Public Health","897"
"north west","Private Health","254"
"north west","Public Health","1580"
"western cape","Private Health","741"
"western cape","Public Health","1177"
