"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","885038"
"Janssen Vaccines & Prevention B.V","free state","Adults","471551"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1468468"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1183673"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1045394"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","778256"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","208024"
"Janssen Vaccines & Prevention B.V","north west","Adults","691952"
"Janssen Vaccines & Prevention B.V","western cape","Adults","728002"
"Pfizer","eastern cape","12-17 Years","47466"
"Pfizer","eastern cape","Adults","1076998"
"Pfizer","free state","12-17 Years","55177"
"Pfizer","free state","Adults","565291"
"Pfizer","gauteng","12-17 Years","127310"
"Pfizer","gauteng","Adults","3259474"
"Pfizer","kwazulu-natal","12-17 Years","64200"
"Pfizer","kwazulu-natal","Adults","1557934"
"Pfizer","limpopo","12-17 Years","58384"
"Pfizer","limpopo","Adults","841115"
"Pfizer","mpumalanga","12-17 Years","28058"
"Pfizer","mpumalanga","Adults","446251"
"Pfizer","northern cape","12-17 Years","7313"
"Pfizer","northern cape","Adults","184532"
"Pfizer","north west","12-17 Years","36010"
"Pfizer","north west","Adults","516045"
"Pfizer","western cape","12-17 Years","47197"
"Pfizer","western cape","Adults","1817372"
