"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","504303"
"kwazulu-natal","Private Health","1171704"
"western cape","Private Health","1813667"
"limpopo","Private Health","561839"
"northern cape","Public Health","536012"
"gauteng","Private Health","4300678"
"kwazulu-natal","Public Health","4140594"
"free state","Public Health","1686025"
"north west","Public Health","1640489"
"gauteng","Public Health","5414708"
"mpumalanga","Private Health","379464"
"mpumalanga","Public Health","1683238"
"northern cape","Private Health","148086"
"eastern cape","Private Health","653142"
"western cape","Public Health","3507859"
"limpopo","Public Health","2824452"
"free state","Private Health","370450"
"eastern cape","Public Health","3132632"
