"province","health_sector","total_number_vaccines_administered"
"gauteng","","4"
"north west","Private Health","538829"
"kwazulu-natal","Private Health","1238970"
"western cape","Private Health","1925061"
"limpopo","Private Health","612591"
"northern cape","Public Health","619562"
"gauteng","Private Health","4591761"
"kwazulu-natal","Public Health","4707131"
"mpumalanga","","23"
"free state","Public Health","1881390"
"north west","Public Health","1808773"
"gauteng","Public Health","5907320"
"mpumalanga","Private Health","407014"
"mpumalanga","Public Health","1963488"
"western cape","","3"
"northern cape","Private Health","158538"
"eastern cape","Private Health","695678"
"western cape","Public Health","3712416"
"limpopo","Public Health","3196918"
"limpopo","","2"
"free state","Private Health","402843"
"eastern cape","Public Health","3631855"
