"vaccine_rollout_phase","province","district","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Amathole DM","Private Health","Female","151","36","187"
"National","eastern cape","Amathole DM","Private Health","Male","92","18","110"
"National","eastern cape","Amathole DM","Public Health","Female","14465","5579","20044"
"National","eastern cape","Amathole DM","Public Health","Male","12427","4572","16999"
"National","eastern cape","A Nzo DM","Public Health","Female","32733","17620","50353"
"National","eastern cape","A Nzo DM","Public Health","Male","29086","13759","42845"
"National","eastern cape","Buffalo City MM","Private Health","Female","2778","1135","3913"
"National","eastern cape","Buffalo City MM","Private Health","Male","2271","877","3148"
"National","eastern cape","Buffalo City MM","Public Health","Female","16416","9516","25932"
"National","eastern cape","Buffalo City MM","Public Health","Male","13041","6722","19763"
"National","eastern cape","C Hani DM","Private Health","Female","219","106","325"
"National","eastern cape","C Hani DM","Private Health","Male","153","73","226"
"National","eastern cape","C Hani DM","Public Health","Female","13664","3592","17256"
"National","eastern cape","C Hani DM","Public Health","Male","11018","2622","13640"
"National","eastern cape","Joe Gqabi DM","Private Health","Female","647","360","1007"
"National","eastern cape","Joe Gqabi DM","Private Health","Male","485","215","700"
"National","eastern cape","Joe Gqabi DM","Public Health","Female","7779","2703","10482"
"National","eastern cape","Joe Gqabi DM","Public Health","Male","6937","2181","9118"
"National","eastern cape","N Mandela Bay MM","Private Health","Female","4002","2016","6018"
"National","eastern cape","N Mandela Bay MM","Private Health","Male","3630","1692","5322"
"National","eastern cape","N Mandela Bay MM","Public Health","Female","15724","6468","22192"
"National","eastern cape","N Mandela Bay MM","Public Health","Male","12247","4594","16841"
"National","eastern cape","O Tambo DM","Private Health","Female","302","117","419"
"National","eastern cape","O Tambo DM","Private Health","Male","241","111","352"
"National","eastern cape","O Tambo DM","Public Health","Female","43547","17073","60620"
"National","eastern cape","O Tambo DM","Public Health","Male","36720","12840","49560"
"National","eastern cape","Sarah Baartman DM","Private Health","Female","1544","1065","2609"
"National","eastern cape","Sarah Baartman DM","Private Health","Male","1341","806","2147"
"National","eastern cape","Sarah Baartman DM","Public Health","Female","9548","5350","14898"
"National","eastern cape","Sarah Baartman DM","Public Health","Male","8024","3998","12022"
"National","free state","Fezile Dabi DM","Private Health","Female","470","339","809"
"National","free state","Fezile Dabi DM","Private Health","Male","443","279","722"
"National","free state","Fezile Dabi DM","Public Health","Female","13065","5003","18068"
"National","free state","Fezile Dabi DM","Public Health","Male","10725","3632","14357"
"National","free state","Lejweleputswa DM","Private Health","Female","3698","1422","5120"
"National","free state","Lejweleputswa DM","Private Health","Male","2959","1077","4036"
"National","free state","Lejweleputswa DM","Public Health","Female","13918","5248","19166"
"National","free state","Lejweleputswa DM","Public Health","Male","11950","3712","15662"
"National","free state","Mangaung MM","Private Health","Female","2936","2000","4936"
"National","free state","Mangaung MM","Private Health","Male","2422","1529","3951"
"National","free state","Mangaung MM","Public Health","Female","23190","13780","36970"
"National","free state","Mangaung MM","Public Health","Male","20736","11146","31882"
"National","free state","T Mofutsanyana DM","Private Health","Female","1815","1110","2925"
"National","free state","T Mofutsanyana DM","Private Health","Male","1561","903","2464"
