"province","health_sector","total_number_vaccines_administered"
"gauteng","","4"
"north west","Private Health","538277"
"kwazulu-natal","Private Health","1238251"
"western cape","Private Health","1924192"
"limpopo","Private Health","611360"
"northern cape","Public Health","614833"
"gauteng","Private Health","4585875"
"kwazulu-natal","Public Health","4692441"
"mpumalanga","","20"
"free state","Public Health","1876100"
"north west","Public Health","1798347"
"gauteng","Public Health","5876696"
"mpumalanga","Private Health","406894"
"mpumalanga","Public Health","1952486"
"western cape","","2"
"northern cape","Private Health","158415"
"eastern cape","Private Health","695379"
"western cape","Public Health","3700359"
"limpopo","Public Health","3178048"
"free state","Private Health","402016"
"eastern cape","Public Health","3597852"
