"vaccine_rollout_phase","province","district","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Amathole DM","Private Health","Female","152","36","188"
"National","eastern cape","Amathole DM","Private Health","Male","94","18","112"
"National","eastern cape","Amathole DM","Public Health","Female","14306","5299","19605"
"National","eastern cape","Amathole DM","Public Health","Male","12209","4386","16595"
"National","eastern cape","A Nzo DM","Public Health","Female","31899","16328","48227"
"National","eastern cape","A Nzo DM","Public Health","Male","28045","12612","40657"
"National","eastern cape","Buffalo City MM","Private Health","Female","2833","1162","3995"
"National","eastern cape","Buffalo City MM","Private Health","Male","2309","892","3201"
"National","eastern cape","Buffalo City MM","Public Health","Female","16356","9468","25824"
"National","eastern cape","Buffalo City MM","Public Health","Male","12882","6612","19494"
"National","eastern cape","C Hani DM","Private Health","Female","220","106","326"
"National","eastern cape","C Hani DM","Private Health","Male","155","76","231"
"National","eastern cape","C Hani DM","Public Health","Female","13832","3615","17447"
"National","eastern cape","C Hani DM","Public Health","Male","11127","2635","13762"
"National","eastern cape","Joe Gqabi DM","Private Health","Female","654","363","1017"
"National","eastern cape","Joe Gqabi DM","Private Health","Male","494","217","711"
"National","eastern cape","Joe Gqabi DM","Public Health","Female","7848","2719","10567"
"National","eastern cape","Joe Gqabi DM","Public Health","Male","7018","2197","9215"
"National","eastern cape","N Mandela Bay MM","Private Health","Female","4062","2040","6102"
"National","eastern cape","N Mandela Bay MM","Private Health","Male","3675","1711","5386"
"National","eastern cape","N Mandela Bay MM","Public Health","Female","15690","6458","22148"
"National","eastern cape","N Mandela Bay MM","Public Health","Male","12215","4574","16789"
"National","eastern cape","O Tambo DM","Private Health","Female","309","119","428"
"National","eastern cape","O Tambo DM","Private Health","Male","245","112","357"
"National","eastern cape","O Tambo DM","Public Health","Female","43766","16977","60743"
"National","eastern cape","O Tambo DM","Public Health","Male","36702","12691","49393"
"National","eastern cape","Sarah Baartman DM","Private Health","Female","1571","1080","2651"
"National","eastern cape","Sarah Baartman DM","Private Health","Male","1368","820","2188"
"National","eastern cape","Sarah Baartman DM","Public Health","Female","9607","5378","14985"
"National","eastern cape","Sarah Baartman DM","Public Health","Male","8064","4005","12069"
"National","free state","Fezile Dabi DM","Private Health","Female","471","342","813"
"National","free state","Fezile Dabi DM","Private Health","Male","448","285","733"
"National","free state","Fezile Dabi DM","Public Health","Female","13174","5016","18190"
"National","free state","Fezile Dabi DM","Public Health","Male","10763","3639","14402"
"National","free state","Lejweleputswa DM","Private Health","Female","3761","1448","5209"
"National","free state","Lejweleputswa DM","Private Health","Male","3008","1088","4096"
"National","free state","Lejweleputswa DM","Public Health","Female","14055","5295","19350"
"National","free state","Lejweleputswa DM","Public Health","Male","12057","3731","15788"
"National","free state","Mangaung MM","Private Health","Female","2960","1919","4879"
"National","free state","Mangaung MM","Private Health","Male","2434","1452","3886"
"National","free state","Mangaung MM","Public Health","Female","23443","13868","37311"
"National","free state","Mangaung MM","Public Health","Male","20926","11197","32123"
"National","free state","T Mofutsanyana DM","Private Health","Female","1840","1120","2960"
"National","free state","T Mofutsanyana DM","Private Health","Male","1580","912","2492"
"National","free state","T Mofutsanyana DM","Public Health","Female","26780","15459","42239"
"National","free state","T Mofutsanyana DM","Public Health","Male","23012","11649","34661"
"National","free state","Xhariep DM","Public Health","Female","4258","1194","5452"
"National","free state","Xhariep DM","Public Health","Male","3481","814","4295"
"National","gauteng","Ekurhuleni MM","Private Health","Female","10750","6557","17307"
"National","gauteng","Ekurhuleni MM","Private Health","Male","9932","5604","15536"
"National","gauteng","Ekurhuleni MM","Public Health","Female","40714","15261","55975"
"National","gauteng","Ekurhuleni MM","Public Health","Male","32232","11177","43409"
"National","gauteng","Johannesburg MM","Private Health","Female","25286","13678","38964"
"National","gauteng","Johannesburg MM","Private Health","Male","23092","11893","34985"
"National","gauteng","Johannesburg MM","Public Health","Female","46234","16783","63017"
"National","gauteng","Johannesburg MM","Public Health","Male","37455","13117","50572"
"National","gauteng","Sedibeng DM","Private Health","Female","1583","1010","2593"
"National","gauteng","Sedibeng DM","Private Health","Male","1422","690","2112"
"National","gauteng","Sedibeng DM","Public Health","Female","13731","5884","19615"
"National","gauteng","Sedibeng DM","Public Health","Male","10833","4529","15362"
"National","gauteng","Tshwane MM","Private Health","Female","11460","6595","18055"
"National","gauteng","Tshwane MM","Private Health","Male","10896","5971","16867"
"National","gauteng","Tshwane MM","Public Health","Female","39885","18588","58473"
"National","gauteng","Tshwane MM","Public Health","Male","30805","13071","43876"
"National","gauteng","West Rand DM","Private Health","Female","2174","1502","3676"
"National","gauteng","West Rand DM","Private Health","Male","1812","1225","3037"
"National","gauteng","West Rand DM","Public Health","Female","17414","8794","26208"
"National","gauteng","West Rand DM","Public Health","Male","14258","6573","20831"
"National","kwazulu-natal","Amajuba DM","Private Health","Female","210","71","281"
"National","kwazulu-natal","Amajuba DM","Private Health","Male","184","57","241"
"National","kwazulu-natal","Amajuba DM","Public Health","Female","6518","2822","9340"
"National","kwazulu-natal","Amajuba DM","Public Health","Male","4205","1739","5944"
"National","kwazulu-natal","eThekwini MM","Private Health","Female","11740","6903","18643"
"National","kwazulu-natal","eThekwini MM","Private Health","Male","10947","6132","17079"
"National","kwazulu-natal","eThekwini MM","Public Health","Female","14459","5541","20000"
"National","kwazulu-natal","eThekwini MM","Public Health","Male","11785","4434","16219"
"National","kwazulu-natal","Harry Gwala DM","Private Health","Female","356","165","521"
"National","kwazulu-natal","Harry Gwala DM","Private Health","Male","342","135","477"
"National","kwazulu-natal","Harry Gwala DM","Public Health","Female","12947","7725","20672"
"National","kwazulu-natal","Harry Gwala DM","Public Health","Male","10132","5610","15742"
"National","kwazulu-natal","iLembe DM","Private Health","Female","541","330","871"
"National","kwazulu-natal","iLembe DM","Private Health","Male","479","276","755"
"National","kwazulu-natal","iLembe DM","Public Health","Female","8305","4130","12435"
"National","kwazulu-natal","iLembe DM","Public Health","Male","4901","2208","7109"
"National","kwazulu-natal","King Cetshwayo DM","Private Health","Female","328","131","459"
"National","kwazulu-natal","King Cetshwayo DM","Private Health","Male","305","93","398"
"National","kwazulu-natal","King Cetshwayo DM","Public Health","Female","12338","5036","17374"
"National","kwazulu-natal","King Cetshwayo DM","Public Health","Male","8012","3075","11087"
"National","kwazulu-natal","Ugu DM","Private Health","Female","896","554","1450"
"National","kwazulu-natal","Ugu DM","Private Health","Male","713","424","1137"
"National","kwazulu-natal","Ugu DM","Public Health","Female","12333","5136","17469"
"National","kwazulu-natal","Ugu DM","Public Health","Male","7974","2768","10742"
"National","kwazulu-natal","uMgungundlovu DM","Private Health","Female","1605","836","2441"
"National","kwazulu-natal","uMgungundlovu DM","Private Health","Male","1489","759","2248"
"National","kwazulu-natal","uMgungundlovu DM","Public Health","Female","12551","4953","17504"
"National","kwazulu-natal","uMgungundlovu DM","Public Health","Male","8736","3063","11799"
"National","kwazulu-natal","Umkhanyakude DM","Private Health","Female","21","5","26"
"National","kwazulu-natal","Umkhanyakude DM","Private Health","Male","24","6","30"
"National","kwazulu-natal","Umkhanyakude DM","Public Health","Female","20418","10313","30731"
"National","kwazulu-natal","Umkhanyakude DM","Public Health","Male","12938","5422","18360"
"National","kwazulu-natal","Umzinyathi DM","Private Health","Female","57","18","75"
"National","kwazulu-natal","Umzinyathi DM","Private Health","Male","33","13","46"
"National","kwazulu-natal","Umzinyathi DM","Public Health","Female","14828","6314","21142"
"National","kwazulu-natal","Umzinyathi DM","Public Health","Male","9136","3437","12573"
"National","kwazulu-natal","Uthukela DM","Private Health","Female","280","120","400"
"National","kwazulu-natal","Uthukela DM","Private Health","Male","181","76","257"
"National","kwazulu-natal","Uthukela DM","Public Health","Female","15217","6863","22080"
"National","kwazulu-natal","Uthukela DM","Public Health","Male","10275","4026","14301"
"National","kwazulu-natal","Zululand DM","Private Health","Female","60","7","67"
"National","kwazulu-natal","Zululand DM","Private Health","Male","45","4","49"
"National","kwazulu-natal","Zululand DM","Public Health","Female","24060","12824","36884"
"National","kwazulu-natal","Zululand DM","Public Health","Male","17299","8114","25413"
"National","limpopo","Capricorn DM","Private Health","Female","2584","1389","3973"
"National","limpopo","Capricorn DM","Private Health","Male","2117","1044","3161"
"National","limpopo","Capricorn DM","Public Health","Female","34158","14040","48198"
"National","limpopo","Capricorn DM","Public Health","Male","29463","10585","40048"
"National","limpopo","Mopani DM","Private Health","Female","960","474","1434"
"National","limpopo","Mopani DM","Private Health","Male","840","397","1237"
"National","limpopo","Mopani DM","Public Health","Female","36279","12561","48840"
"National","limpopo","Mopani DM","Public Health","Male","29829","9007","38836"
"National","limpopo","Sekhukhune DM","Private Health","Female","880","461","1341"
"National","limpopo","Sekhukhune DM","Private Health","Male","887","359","1246"
"National","limpopo","Sekhukhune DM","Public Health","Female","25494","9578","35072"
"National","limpopo","Sekhukhune DM","Public Health","Male","24973","8079","33052"
"National","limpopo","Vhembe DM","Private Health","Female","5860","2481","8341"
"National","limpopo","Vhembe DM","Private Health","Male","4029","1460","5489"
"National","limpopo","Vhembe DM","Public Health","Female","32351","10261","42612"
"National","limpopo","Vhembe DM","Public Health","Male","26920","7334","34254"
"National","limpopo","Waterberg DM","Private Health","Female","1238","510","1748"
"National","limpopo","Waterberg DM","Private Health","Male","1123","435","1558"
"National","limpopo","Waterberg DM","Public Health","Female","16414","6467","22881"
"National","limpopo","Waterberg DM","Public Health","Male","13643","4741","18384"
"National","mpumalanga","Ehlanzeni DM","Private Health","Female","2016","941","2957"
"National","mpumalanga","Ehlanzeni DM","Private Health","Male","1718","841","2559"
"National","mpumalanga","Ehlanzeni DM","Public Health","Female","45936","18818","64754"
"National","mpumalanga","Ehlanzeni DM","Public Health","Male","34977","12180","47157"
"National","mpumalanga","G Sibande DM","Private Health","Female","697","269","966"
"National","mpumalanga","G Sibande DM","Private Health","Male","592","247","839"
"National","mpumalanga","G Sibande DM","Public Health","Female","15442","5979","21421"
"National","mpumalanga","G Sibande DM","Public Health","Male","11896","4046","15942"
"National","mpumalanga","Nkangala DM","Private Health","Female","1051","440","1491"
"National","mpumalanga","Nkangala DM","Private Health","Male","1007","396","1403"
"National","mpumalanga","Nkangala DM","Public Health","Female","16060","6169","22229"
"National","mpumalanga","Nkangala DM","Public Health","Male","16733","5154","21887"
"National","northern cape","Frances Baard DM","Private Health","Female","1233","619","1852"
"National","northern cape","Frances Baard DM","Private Health","Male","1174","504","1678"
"National","northern cape","Frances Baard DM","Public Health","Female","6380","3109","9489"
"National","northern cape","Frances Baard DM","Public Health","Male","5160","2316","7476"
"National","northern cape","J T Gaetsewe DM","Private Health","Female","315","196","511"
"National","northern cape","J T Gaetsewe DM","Private Health","Male","272","143","415"
"National","northern cape","J T Gaetsewe DM","Public Health","Female","3161","1127","4288"
"National","northern cape","J T Gaetsewe DM","Public Health","Male","2412","853","3265"
"National","northern cape","Namakwa DM","Private Health","Female","168","98","266"
"National","northern cape","Namakwa DM","Private Health","Male","152","71","223"
"National","northern cape","Namakwa DM","Public Health","Female","1548","569","2117"
