"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","131"
"eastern cape","Public Health","2389"
"free state","Private Health","17"
"free state","Public Health","549"
"gauteng","Private Health","536"
"gauteng","Public Health","1455"
"kwazulu-natal","Private Health","134"
"kwazulu-natal","Public Health","1273"
"limpopo","Private Health","192"
"limpopo","Public Health","1108"
"mpumalanga","Private Health","45"
"mpumalanga","Public Health","1061"
"northern cape","Private Health","15"
"northern cape","Public Health","148"
"north west","Private Health","42"
"north west","Public Health","210"
"western cape","Private Health","178"
"western cape","Public Health","714"
