"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","29"
"eastern cape","Public Health","1393"
"free state","Private Health","93"
"free state","Public Health","386"
"gauteng","Private Health","322"
"gauteng","Public Health","1005"
"kwazulu-natal","Private Health","42"
"kwazulu-natal","Public Health","787"
"limpopo","Private Health","81"
"limpopo","Public Health","809"
"mpumalanga","Private Health","6"
"mpumalanga","Public Health","448"
"northern cape","Private Health","9"
"northern cape","Public Health","201"
"north west","Private Health","28"
"north west","Public Health","218"
"western cape","Private Health","29"
"western cape","Public Health","394"
