"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","21"
"eastern cape","Public Health","1976"
"free state","Private Health","5"
"free state","Public Health","201"
"gauteng","Private Health","149"
"gauteng","Public Health","768"
"kwazulu-natal","Private Health","38"
"kwazulu-natal","Public Health","565"
"limpopo","Private Health","32"
"limpopo","Public Health","1003"
"mpumalanga","Public Health","618"
"northern cape","Private Health","4"
"northern cape","Public Health","181"
"north west","Private Health","29"
"north west","Public Health","224"
"western cape","Private Health","30"
"western cape","Public Health","605"
