"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","117"
"Janssen Vaccines & Prevention B.V","free state","Adults","16"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","224"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","128"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","123"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","112"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","37"
"Janssen Vaccines & Prevention B.V","north west","Adults","54"
"Janssen Vaccines & Prevention B.V","western cape","Adults","104"
"Pfizer","eastern cape","12-17 Years","460"
"Pfizer","eastern cape","Adults","239"
"Pfizer","free state","12-17 Years","8"
"Pfizer","free state","Adults","57"
"Pfizer","gauteng","12-17 Years","43"
"Pfizer","gauteng","Adults","188"
"Pfizer","kwazulu-natal","12-17 Years","17"
"Pfizer","kwazulu-natal","Adults","124"
"Pfizer","limpopo","12-17 Years","171"
"Pfizer","limpopo","Adults","95"
"Pfizer","mpumalanga","12-17 Years","94"
"Pfizer","mpumalanga","Adults","81"
"Pfizer","northern cape","12-17 Years","25"
"Pfizer","northern cape","Adults","17"
"Pfizer","north west","12-17 Years","13"
"Pfizer","north west","Adults","42"
"Pfizer","western cape","12-17 Years","26"
"Pfizer","western cape","Adults","114"
