"vaccine_manufacturer","province","age_group","total_number_first_doses_administered_last_24_hours","total_number_second_doses_administered_last_24_hours","total_number_booster_doses_administered_last_24_hours","total_number_doses_administered_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","83","0","166","249"
"Janssen Vaccines & Prevention B.V","free state","Adults","24","0","61","85"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","305","0","188","493"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","152","0","135","287"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","103","0","168","271"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","121","0","108","229"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","13","0","23","36"
"Janssen Vaccines & Prevention B.V","north west","Adults","53","0","87","140"
"Janssen Vaccines & Prevention B.V","western cape","Adults","93","0","58","151"
"Pfizer","eastern cape","12-17 Years","693","442","0","1135"
"Pfizer","eastern cape","Adults","200","305","388","893"
"Pfizer","free state","12-17 Years","63","84","0","147"
"Pfizer","free state","Adults","56","88","136","280"
"Pfizer","gauteng","12-17 Years","98","72","0","170"
"Pfizer","gauteng","Adults","189","227","216","632"
"Pfizer","kwazulu-natal","12-17 Years","42","61","0","103"
"Pfizer","kwazulu-natal","Adults","188","198","150","536"
"Pfizer","limpopo","12-17 Years","272","224","0","496"
"Pfizer","limpopo","Adults","79","90","80","249"
"Pfizer","mpumalanga","12-17 Years","118","155","0","273"
"Pfizer","mpumalanga","Adults","89","96","52","237"
"Pfizer","northern cape","12-17 Years","128","85","0","213"
"Pfizer","northern cape","Adults","35","32","18","85"
"Pfizer","north west","12-17 Years","27","11","0","38"
"Pfizer","north west","Adults","32","30","62","124"
"Pfizer","western cape","12-17 Years","48","33","0","81"
"Pfizer","western cape","Adults","101","119","161","381"
