"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","13"
"eastern cape","Public Health","2264"
"free state","Private Health","12"
"free state","Public Health","500"
"gauteng","Private Health","136"
"gauteng","Public Health","1159"
"kwazulu-natal","Private Health","32"
"kwazulu-natal","Public Health","894"
"limpopo","Private Health","92"
"limpopo","Public Health","924"
"mpumalanga","Private Health","11"
"mpumalanga","Public Health","728"
"northern cape","Private Health","9"
"northern cape","Public Health","325"
"north west","Private Health","31"
"north west","Public Health","271"
"western cape","Private Health","25"
"western cape","Public Health","588"
