"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","21"
"eastern cape","Public Health","2104"
"free state","Private Health","53"
"free state","Public Health","515"
"gauteng","Private Health","355"
"gauteng","Public Health","1093"
"kwazulu-natal","Private Health","67"
"kwazulu-natal","Public Health","792"
"limpopo","Private Health","124"
"limpopo","Public Health","1076"
"mpumalanga","Private Health","30"
"mpumalanga","Public Health","731"
"northern cape","Private Health","18"
"northern cape","Public Health","101"
"north west","Private Health","47"
"north west","Public Health","211"
"western cape","Private Health","193"
"western cape","Public Health","392"
