"vaccine_manufacturer","province","age_group","total_number_first_doses_administered_last_24_hours","total_number_second_doses_administered_last_24_hours","total_number_booster_doses_administered_last_24_hours","total_number_doses_administered_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","62","0","136","198"
"Janssen Vaccines & Prevention B.V","free state","Adults","29","0","104","133"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","264","0","181","445"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","117","0","96","213"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","105","0","201","306"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","157","0","160","317"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","21","0","10","31"
"Janssen Vaccines & Prevention B.V","north west","Adults","57","0","97","154"
"Janssen Vaccines & Prevention B.V","western cape","Adults","79","0","56","135"
"Pfizer","eastern cape","12-17 Years","337","699","0","1036"
"Pfizer","eastern cape","Adults","208","320","363","891"
"Pfizer","free state","12-17 Years","27","73","0","100"
"Pfizer","free state","Adults","70","88","177","335"
"Pfizer","gauteng","12-17 Years","85","49","0","134"
"Pfizer","gauteng","Adults","298","280","291","869"
"Pfizer","kwazulu-natal","12-17 Years","32","132","0","164"
"Pfizer","kwazulu-natal","Adults","143","172","167","482"
"Pfizer","limpopo","12-17 Years","172","308","0","480"
"Pfizer","limpopo","Adults","102","167","145","414"
"Pfizer","mpumalanga","12-17 Years","62","168","0","230"
"Pfizer","mpumalanga","Adults","75","80","59","214"
"Pfizer","northern cape","12-17 Years","23","20","0","43"
"Pfizer","northern cape","Adults","15","22","8","45"
"Pfizer","north west","12-17 Years","8","6","0","14"
"Pfizer","north west","Adults","22","28","40","90"
"Pfizer","western cape","12-17 Years","33","59","0","92"
"Pfizer","western cape","Adults","95","121","142","358"
