"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","5"
"eastern cape","Public Health","1280"
"free state","Private Health","2"
"free state","Public Health","210"
"gauteng","Private Health","155"
"gauteng","Public Health","1396"
"kwazulu-natal","Private Health","16"
"kwazulu-natal","Public Health","553"
"limpopo","Private Health","33"
"limpopo","Public Health","707"
"mpumalanga","Private Health","0"
"mpumalanga","Public Health","390"
"northern cape","Public Health","146"
"north west","Private Health","43"
"north west","Public Health","299"
"western cape","Private Health","14"
"western cape","Public Health","565"
