"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","0"
"Janssen Vaccines & Prevention B.V","free state","Adults","0"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","0"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","0"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","0"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","0"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","0"
"Janssen Vaccines & Prevention B.V","north west","Adults","0"
"Janssen Vaccines & Prevention B.V","western cape","Adults","0"
"Pfizer","eastern cape","12-17 Years","65"
"Pfizer","eastern cape","Adults","160"
"Pfizer","free state","12-17 Years","8"
"Pfizer","free state","Adults","21"
"Pfizer","gauteng","12-17 Years","42"
"Pfizer","gauteng","Adults","212"
"Pfizer","kwazulu-natal","12-17 Years","21"
"Pfizer","kwazulu-natal","Adults","99"
"Pfizer","limpopo","12-17 Years","17"
"Pfizer","limpopo","Adults","72"
"Pfizer","mpumalanga","12-17 Years","5"
"Pfizer","mpumalanga","Adults","30"
"Pfizer","northern cape","12-17 Years","8"
"Pfizer","northern cape","Adults","15"
"Pfizer","north west","12-17 Years","2"
"Pfizer","north west","Adults","28"
"Pfizer","western cape","12-17 Years","6"
"Pfizer","western cape","Adults","82"
