"province","health_sector","total_number_vaccines_administered"
"gauteng","","4"
"north west","Private Health","537629"
"kwazulu-natal","Private Health","1237596"
"western cape","Private Health","1923437"
"limpopo","Private Health","610197"
"northern cape","Public Health","611067"
"gauteng","Private Health","4580341"
"kwazulu-natal","Public Health","4676825"
"mpumalanga","","17"
"free state","Public Health","1870545"
"north west","Public Health","1790614"
"gauteng","Public Health","5854025"
"mpumalanga","Private Health","406697"
"mpumalanga","Public Health","1938999"
"northern cape","Private Health","158236"
"eastern cape","Private Health","694692"
"western cape","Public Health","3690130"
"limpopo","Public Health","3157925"
"free state","Private Health","401127"
"eastern cape","Public Health","3568626"
