"vaccine_rollout_phase","province","district","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Amathole DM","Private Health","Female","153","37","190"
"National","eastern cape","Amathole DM","Private Health","Male","96","19","115"
"National","eastern cape","Amathole DM","Public Health","Female","13897","4611","18508"
"National","eastern cape","Amathole DM","Public Health","Male","11789","3826","15615"
"National","eastern cape","A Nzo DM","Public Health","Female","29928","14530","44458"
"National","eastern cape","A Nzo DM","Public Health","Male","26022","10940","36962"
"National","eastern cape","Buffalo City MM","Private Health","Female","2888","1188","4076"
"National","eastern cape","Buffalo City MM","Private Health","Male","2349","906","3255"
"National","eastern cape","Buffalo City MM","Public Health","Female","16122","9045","25167"
"National","eastern cape","Buffalo City MM","Public Health","Male","12451","6208","18659"
"National","eastern cape","C Hani DM","Private Health","Female","226","102","328"
"National","eastern cape","C Hani DM","Private Health","Male","160","74","234"
"National","eastern cape","C Hani DM","Public Health","Female","13985","3616","17601"
"National","eastern cape","C Hani DM","Public Health","Male","11244","2629","13873"
"National","eastern cape","Joe Gqabi DM","Private Health","Female","660","366","1026"
"National","eastern cape","Joe Gqabi DM","Private Health","Male","504","218","722"
"National","eastern cape","Joe Gqabi DM","Public Health","Female","7869","2698","10567"
"National","eastern cape","Joe Gqabi DM","Public Health","Male","7044","2142","9186"
"National","eastern cape","N Mandela Bay MM","Private Health","Female","4134","2075","6209"
"National","eastern cape","N Mandela Bay MM","Private Health","Male","3723","1730","5453"
"National","eastern cape","N Mandela Bay MM","Public Health","Female","15677","6409","22086"
"National","eastern cape","N Mandela Bay MM","Public Health","Male","12202","4497","16699"
"National","eastern cape","O Tambo DM","Private Health","Female","315","122","437"
"National","eastern cape","O Tambo DM","Private Health","Male","253","113","366"
"National","eastern cape","O Tambo DM","Public Health","Female","43724","16747","60471"
"National","eastern cape","O Tambo DM","Public Health","Male","36530","12415","48945"
"National","eastern cape","Sarah Baartman DM","Private Health","Female","1589","1092","2681"
"National","eastern cape","Sarah Baartman DM","Private Health","Male","1380","826","2206"
"National","eastern cape","Sarah Baartman DM","Public Health","Female","9630","5338","14968"
"National","eastern cape","Sarah Baartman DM","Public Health","Male","8089","3950","12039"
"National","free state","Fezile Dabi DM","Private Health","Female","473","344","817"
"National","free state","Fezile Dabi DM","Private Health","Male","450","287","737"
"National","free state","Fezile Dabi DM","Public Health","Female","13286","4976","18262"
"National","free state","Fezile Dabi DM","Public Health","Male","10823","3605","14428"
"National","free state","Lejweleputswa DM","Private Health","Female","3818","1468","5286"
"National","free state","Lejweleputswa DM","Private Health","Male","3055","1105","4160"
"National","free state","Lejweleputswa DM","Public Health","Female","14151","5273","19424"
"National","free state","Lejweleputswa DM","Public Health","Male","12120","3708","15828"
"National","free state","Mangaung MM","Private Health","Female","2906","1703","4609"
"National","free state","Mangaung MM","Private Health","Male","2407","1299","3706"
"National","free state","Mangaung MM","Public Health","Female","23597","13910","37507"
"National","free state","Mangaung MM","Public Health","Male","21084","11210","32294"
"National","free state","T Mofutsanyana DM","Private Health","Female","1869","1138","3007"
"National","free state","T Mofutsanyana DM","Private Health","Male","1595","923","2518"
"National","free state","T Mofutsanyana DM","Public Health","Female","26983","15464","42447"
