"province","health_sector","total_number_vaccines_administered"
"gauteng","","4"
"north west","Private Health","538016"
"kwazulu-natal","Private Health","1237949"
"western cape","Private Health","1923878"
"limpopo","Private Health","611025"
"northern cape","Public Health","613228"
"gauteng","Private Health","4583313"
"kwazulu-natal","Public Health","4686037"
"mpumalanga","","19"
"free state","Public Health","1873890"
"north west","Public Health","1795149"
"gauteng","Public Health","5867291"
"mpumalanga","Private Health","406864"
"mpumalanga","Public Health","1946989"
"western cape","","2"
"northern cape","Private Health","158351"
"eastern cape","Private Health","695189"
"western cape","Public Health","3695691"
"limpopo","Public Health","3170111"
"free state","Private Health","401883"
"eastern cape","Public Health","3585271"
