"vaccine_rollout_phase","province","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Private Health","Female","10357","5082","15439"
"National","eastern cape","Private Health","Male","8778","3958","12736"
"National","eastern cape","Public Health","Female","146307","55691","201998"
"National","eastern cape","Public Health","Male","120148","39666","159814"
"National","free state","Private Health","Female","9176","4617","13793"
"National","free state","Private Health","Male","7555","3558","11113"
"National","free state","Public Health","Female","83565","40650","124215"
"National","free state","Public Health","Male","71466","30547","102013"
"National","gauteng","Private Health","Female","53294","30297","83591"
"National","gauteng","Private Health","Male","48969","26010","74979"
"National","gauteng","Public Health","Female","162253","65832","228085"
"National","gauteng","Public Health","Male","128282","48398","176680"
"National","kwazulu-natal","Private Health","Female","16966","9622","26588"
"National","kwazulu-natal","Private Health","Male","15406","8244","23650"
"National","kwazulu-natal","Public Health","Female","157214","69453","226667"
"National","kwazulu-natal","Public Health","Male","107171","42209","149380"
"National","limpopo","Private Health","Female","11781","5188","16969"
"National","limpopo","Private Health","Male","9200","3635","12835"
"National","limpopo","Public Health","Female","143111","49232","192343"
"National","limpopo","Public Health","Male","123738","36733","160471"
"National","mpumalanga","Private Health","Female","3966","1718","5684"
"National","mpumalanga","Private Health","Male","3456","1527","4983"
"National","mpumalanga","Public Health","Female","76655","26907","103562"
"National","mpumalanga","Public Health","Male","63294","18598","81892"
"National","northern cape","Private Health","Female","2126","1049","3175"
"National","northern cape","Private Health","Male","1950","814","2764"
"National","northern cape","Public Health","Female","17946","6938","24884"
"National","northern cape","Public Health","Male","14091","5086","19177"
"National","north west","Private Health","Female","5190","2414","7604"
"National","north west","Private Health","Male","4705","2040","6745"
"National","north west","Public Health","Female","78433","27976","106409"
"National","north west","Public Health","Male","65065","20359","85424"
"National","western cape","Private Health","Female","23349","12695","36044"
"National","western cape","Private Health","Male","21094","10982","32076"
"National","western cape","Public Health","Female","47324","16118","63442"
"National","western cape","Public Health","Male","39555","13230","52785"
