"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","917772"
"Janssen Vaccines & Prevention B.V","free state","Adults","487285"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1546843"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1245413"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1079867"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","829572"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","216043"
"Janssen Vaccines & Prevention B.V","north west","Adults","713779"
"Janssen Vaccines & Prevention B.V","western cape","Adults","751060"
"Pfizer","eastern cape","12-17 Years","104397"
"Pfizer","eastern cape","Adults","1129257"
"Pfizer","free state","12-17 Years","79372"
"Pfizer","free state","Adults","594061"
"Pfizer","gauteng","12-17 Years","170537"
"Pfizer","gauteng","Adults","3392954"
"Pfizer","kwazulu-natal","12-17 Years","129528"
"Pfizer","kwazulu-natal","Adults","1652928"
"Pfizer","limpopo","12-17 Years","94788"
"Pfizer","limpopo","Adults","878990"
"Pfizer","mpumalanga","12-17 Years","48750"
"Pfizer","mpumalanga","Adults","474600"
"Pfizer","northern cape","12-17 Years","13887"
"Pfizer","northern cape","Adults","194137"
"Pfizer","north west","12-17 Years","52789"
"Pfizer","north west","Adults","539916"
"Pfizer","western cape","12-17 Years","53025"
"Pfizer","western cape","Adults","1864379"
