"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","534903"
"kwazulu-natal","Private Health","1231799"
"western cape","Private Health","1912843"
"limpopo","Private Health","602830"
"northern cape","Public Health","604003"
"gauteng","Private Health","4549818"
"kwazulu-natal","Public Health","4620032"
"free state","Public Health","1848118"
"north west","Public Health","1777243"
"gauteng","Public Health","5798673"
"mpumalanga","Private Health","404789"
"mpumalanga","Public Health","1905749"
"northern cape","Private Health","157035"
"eastern cape","Private Health","690199"
"western cape","Public Health","3661365"
"limpopo","Public Health","3114920"
"free state","Private Health","398420"
"eastern cape","Public Health","3492418"
