"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","534476"
"kwazulu-natal","Private Health","1230475"
"western cape","Private Health","1911258"
"limpopo","Private Health","601724"
"northern cape","Public Health","603427"
"gauteng","Private Health","4545184"
"kwazulu-natal","Public Health","4611200"
"free state","Public Health","1845441"
"north west","Public Health","1775932"
"gauteng","Public Health","5792427"
"mpumalanga","Private Health","404452"
"mpumalanga","Public Health","1901854"
"northern cape","Private Health","156834"
"eastern cape","Private Health","689650"
"western cape","Public Health","3658414"
"limpopo","Public Health","3110552"
"free state","Private Health","397994"
"eastern cape","Public Health","3483269"
