"vaccine_rollout_phase","province","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Private Health","Female","10393","5099","15492"
"National","eastern cape","Private Health","Male","8811","3967","12778"
"National","eastern cape","Public Health","Female","145693","54583","200276"
"National","eastern cape","Public Health","Male","119465","38669","158134"
"National","free state","Private Health","Female","9180","4617","13797"
"National","free state","Private Health","Male","7554","3563","11117"
"National","free state","Public Health","Female","83702","40574","124276"
"National","free state","Public Health","Male","71560","30484","102044"
"National","gauteng","Private Health","Female","53423","30325","83748"
"National","gauteng","Private Health","Male","49075","26002","75077"
"National","gauteng","Public Health","Female","162564","65810","228374"
"National","gauteng","Public Health","Male","128509","48355","176864"
"National","kwazulu-natal","Private Health","Female","17024","9631","26655"
"National","kwazulu-natal","Private Health","Male","15442","8253","23695"
"National","kwazulu-natal","Public Health","Female","157156","68739","225895"
"National","kwazulu-natal","Public Health","Male","107091","41816","148907"
"National","limpopo","Private Health","Female","11783","5190","16973"
"National","limpopo","Private Health","Male","9174","3622","12796"
"National","limpopo","Public Health","Female","142717","48972","191689"
"National","limpopo","Public Health","Male","123493","36574","160067"
"National","mpumalanga","Private Health","Female","3979","1720","5699"
"National","mpumalanga","Private Health","Male","3467","1518","4985"
"National","mpumalanga","Public Health","Female","76525","26723","103248"
"National","mpumalanga","Public Health","Male","63247","18464","81711"
"National","northern cape","Private Health","Female","2118","1055","3173"
"National","northern cape","Private Health","Male","1948","815","2763"
"National","northern cape","Public Health","Female","17919","6861","24780"
"National","northern cape","Public Health","Male","14049","5018","19067"
"National","north west","Private Health","Female","5212","2422","7634"
"National","north west","Private Health","Male","4718","2035","6753"
"National","north west","Public Health","Female","78604","28025","106629"
"National","north west","Public Health","Male","65169","20361","85530"
"National","western cape","Private Health","Female","23439","12701","36140"
"National","western cape","Private Health","Male","21131","10981","32112"
"National","western cape","Public Health","Female","47274","16048","63322"
"National","western cape","Public Health","Male","39466","13167","52633"
