"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","4"
"eastern cape","Public Health","60"
"free state","Public Health","4"
"gauteng","Private Health","94"
"gauteng","Public Health","35"
"kwazulu-natal","Private Health","2"
"kwazulu-natal","Public Health","40"
"limpopo","Private Health","8"
"limpopo","Public Health","45"
"mpumalanga","Public Health","48"
"northern cape","Private Health","2"
"northern cape","Public Health","20"
"north west","Public Health","77"
"western cape","Private Health","30"
"western cape","Public Health","75"
