"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","10"
"eastern cape","Public Health","1041"
"free state","Private Health","1"
"free state","Public Health","153"
"gauteng","Private Health","251"
"gauteng","Public Health","1260"
"kwazulu-natal","Private Health","1"
"kwazulu-natal","Public Health","404"
"limpopo","Private Health","47"
"limpopo","Public Health","550"
"mpumalanga","Private Health","2"
"mpumalanga","Public Health","358"
"northern cape","Public Health","130"
"north west","Private Health","40"
"north west","Public Health","303"
"western cape","Private Health","34"
"western cape","Public Health","441"
