"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","0"
"Janssen Vaccines & Prevention B.V","free state","Adults","0"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","0"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","0"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","0"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","0"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","0"
"Janssen Vaccines & Prevention B.V","north west","Adults","0"
"Janssen Vaccines & Prevention B.V","western cape","Adults","0"
"Pfizer","eastern cape","12-17 Years","40"
"Pfizer","eastern cape","Adults","133"
"Pfizer","free state","12-17 Years","12"
"Pfizer","free state","Adults","18"
"Pfizer","gauteng","12-17 Years","31"
"Pfizer","gauteng","Adults","206"
"Pfizer","kwazulu-natal","12-17 Years","6"
"Pfizer","kwazulu-natal","Adults","87"
"Pfizer","limpopo","12-17 Years","23"
"Pfizer","limpopo","Adults","72"
"Pfizer","mpumalanga","12-17 Years","18"
"Pfizer","mpumalanga","Adults","44"
"Pfizer","northern cape","12-17 Years","7"
"Pfizer","northern cape","Adults","20"
"Pfizer","north west","12-17 Years","11"
"Pfizer","north west","Adults","63"
"Pfizer","western cape","12-17 Years","16"
"Pfizer","western cape","Adults","65"
