"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","25"
"eastern cape","Public Health","1705"
"free state","Private Health","142"
"free state","Public Health","253"
"gauteng","Private Health","204"
"gauteng","Public Health","1605"
"kwazulu-natal","Private Health","22"
"kwazulu-natal","Public Health","567"
"limpopo","Private Health","21"
"limpopo","Public Health","664"
"mpumalanga","Public Health","473"
"northern cape","Public Health","269"
"north west","Private Health","37"
"north west","Public Health","547"
"western cape","Private Health","41"
"western cape","Public Health","673"
