"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","904539"
"Janssen Vaccines & Prevention B.V","free state","Adults","480967"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1511529"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1215773"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1066253"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","803517"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","211735"
"Janssen Vaccines & Prevention B.V","north west","Adults","705761"
"Janssen Vaccines & Prevention B.V","western cape","Adults","740691"
"Pfizer","eastern cape","12-17 Years","84395"
"Pfizer","eastern cape","Adults","1102333"
"Pfizer","free state","12-17 Years","73040"
"Pfizer","free state","Adults","579404"
"Pfizer","gauteng","12-17 Years","161137"
"Pfizer","gauteng","Adults","3333947"
"Pfizer","kwazulu-natal","12-17 Years","105617"
"Pfizer","kwazulu-natal","Adults","1606154"
"Pfizer","limpopo","12-17 Years","81266"
"Pfizer","limpopo","Adults","861366"
"Pfizer","mpumalanga","12-17 Years","41098"
"Pfizer","mpumalanga","Adults","458807"
"Pfizer","northern cape","12-17 Years","9925"
"Pfizer","northern cape","Adults","188747"
"Pfizer","north west","12-17 Years","49289"
"Pfizer","north west","Adults","529585"
"Pfizer","western cape","12-17 Years","50410"
"Pfizer","western cape","Adults","1842371"
