"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","525511"
"kwazulu-natal","Private Health","1208735"
"western cape","Private Health","1876325"
"limpopo","Private Health","586900"
"northern cape","Public Health","567813"
"gauteng","Private Health","4451910"
"kwazulu-natal","Public Health","4413502"
"free state","Public Health","1782773"
"north west","Public Health","1728260"
"gauteng","Public Health","5654957"
"mpumalanga","Private Health","392097"
"mpumalanga","Public Health","1800618"
"northern cape","Private Health","153792"
"eastern cape","Private Health","676014"
"western cape","Public Health","3595602"
"limpopo","Public Health","3001262"
"free state","Private Health","388459"
"eastern cape","Public Health","3344374"
