"vaccine_rollout_phase","province","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Private Health","Female","10662","5023","15685"
"National","eastern cape","Private Health","Male","8924","3867","12791"
"National","eastern cape","Public Health","Female","140750","44894","185644"
"National","eastern cape","Public Health","Male","114396","30611","145007"
"National","free state","Private Health","Female","9227","4282","13509"
"National","free state","Private Health","Male","7477","3271","10748"
"National","free state","Public Health","Female","82987","37613","120600"
"National","free state","Public Health","Male","70664","27874","98538"
"National","gauteng","Private Health","Female","54143","29382","83525"
"National","gauteng","Private Health","Male","49394","24998","74392"
"National","gauteng","Public Health","Female","159904","61782","221686"
"National","gauteng","Public Health","Male","126137","44975","171112"
"National","kwazulu-natal","Private Health","Female","17484","9590","27074"
"National","kwazulu-natal","Private Health","Male","15789","8118","23907"
"National","kwazulu-natal","Public Health","Female","146042","54997","201039"
"National","kwazulu-natal","Public Health","Male","98875","32912","131787"
"National","limpopo","Private Health","Female","11582","4907","16489"
"National","limpopo","Private Health","Male","8978","3444","12422"
"National","limpopo","Public Health","Female","132279","41884","174163"
"National","limpopo","Public Health","Male","112198","31031","143229"
"National","mpumalanga","Private Health","Female","4019","1658","5677"
"National","mpumalanga","Private Health","Male","3516","1447","4963"
"National","mpumalanga","Public Health","Female","73309","22280","95589"
"National","mpumalanga","Public Health","Male","60685","15713","76398"
"National","northern cape","Private Health","Female","2147","1024","3171"
"National","northern cape","Private Health","Male","1953","763","2716"
"National","northern cape","Public Health","Female","15757","4653","20410"
"National","northern cape","Public Health","Male","12420","3485","15905"
"National","north west","Private Health","Female","5305","2396","7701"
"National","north west","Private Health","Male","4779","1995","6774"
"National","north west","Public Health","Female","77944","26237","104181"
"National","north west","Public Health","Male","64378","18661","83039"
"National","western cape","Private Health","Female","23709","12152","35861"
"National","western cape","Private Health","Male","21247","10412","31659"
"National","western cape","Public Health","Female","46961","15359","62320"
"National","western cape","Public Health","Male","38979","12487","51466"
