"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","904539"
"eastern cape","Pfizer","1316546"
"free state","Johnson & Johnson","480967"
"free state","Pfizer","662903"
"gauteng","Johnson & Johnson","1511529"
"gauteng","Pfizer","3859993"
"kwazulu-natal","Johnson & Johnson","1215772"
"kwazulu-natal","Pfizer","1939948"
"limpopo","Johnson & Johnson","1066253"
"limpopo","Pfizer","1025584"
"mpumalanga","Johnson & Johnson","803517"
"mpumalanga","Pfizer","559267"
"northern cape","Johnson & Johnson","211735"
"northern cape","Pfizer","220931"
"north west","Johnson & Johnson","705761"
"north west","Pfizer","612712"
"western cape","Johnson & Johnson","740691"
"western cape","Pfizer","2102505"
