"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","485"
"eastern cape","Public Health","4281"
"free state","Private Health","588"
"free state","Public Health","2853"
"gauteng","Private Health","3408"
"gauteng","Public Health","6319"
"kwazulu-natal","Private Health","728"
"kwazulu-natal","Public Health","5701"
"limpopo","Private Health","525"
"limpopo","Public Health","4545"
"mpumalanga","Private Health","337"
"mpumalanga","Public Health","3246"
"northern cape","Private Health","120"
"northern cape","Public Health","1132"
"north west","Private Health","522"
"north west","Public Health","2204"
"western cape","Private Health","1449"
"western cape","Public Health","2493"
