"province","health_sector","total_number_vaccines_administered"
"gauteng","","4"
"north west","Private Health","538933"
"free state","","6"
"kwazulu-natal","Private Health","1239018"
"western cape","Private Health","1925164"
"limpopo","Private Health","612626"
"northern cape","Public Health","619827"
"gauteng","Private Health","4592274"
"kwazulu-natal","Public Health","4708407"
"mpumalanga","","23"
"free state","Public Health","1881845"
"north west","Public Health","1809636"
"gauteng","Public Health","5910110"
"mpumalanga","Private Health","407017"
"mpumalanga","Public Health","1964291"
"western cape","","3"
"northern cape","Private Health","158538"
"eastern cape","Private Health","695736"
"western cape","Public Health","3713507"
"limpopo","Public Health","3198237"
"limpopo","","2"
"free state","Private Health","402854"
"eastern cape","Public Health","3634214"
