"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","529851"
"kwazulu-natal","Private Health","1218151"
"western cape","Private Health","1892530"
"limpopo","Private Health","593171"
"northern cape","Public Health","580328"
"gauteng","Private Health","4491138"
"kwazulu-natal","Public Health","4507990"
"free state","Public Health","1811066"
"north west","Public Health","1754074"
"gauteng","Public Health","5726044"
"mpumalanga","Private Health","395974"
"mpumalanga","Public Health","1842391"
"northern cape","Private Health","155220"
"eastern cape","Private Health","681517"
"western cape","Public Health","3624253"
"limpopo","Public Health","3064754"
"free state","Private Health","393086"
"eastern cape","Public Health","3408179"
