"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","910622"
"Janssen Vaccines & Prevention B.V","free state","Adults","484004"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1526877"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1227227"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1073377"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","813811"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","213205"
"Janssen Vaccines & Prevention B.V","north west","Adults","709644"
"Janssen Vaccines & Prevention B.V","western cape","Adults","745413"
"Pfizer","eastern cape","12-17 Years","94037"
"Pfizer","eastern cape","Adults","1112035"
"Pfizer","free state","12-17 Years","76448"
"Pfizer","free state","Adults","584887"
"Pfizer","gauteng","12-17 Years","167333"
"Pfizer","gauteng","Adults","3358211"
"Pfizer","kwazulu-natal","12-17 Years","117996"
"Pfizer","kwazulu-natal","Adults","1624595"
"Pfizer","limpopo","12-17 Years","89553"
"Pfizer","limpopo","Adults","868694"
"Pfizer","mpumalanga","12-17 Years","45476"
"Pfizer","mpumalanga","Adults","464057"
"Pfizer","northern cape","12-17 Years","11207"
"Pfizer","northern cape","Adults","190496"
"Pfizer","north west","12-17 Years","51957"
"Pfizer","north west","Adults","534133"
"Pfizer","western cape","12-17 Years","51852"
"Pfizer","western cape","Adults","1851217"
