"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","535393"
"kwazulu-natal","Private Health","1233020"
"western cape","Private Health","1914856"
"limpopo","Private Health","604675"
"northern cape","Public Health","605209"
"gauteng","Private Health","4555338"
"kwazulu-natal","Public Health","4633876"
"free state","Public Health","1852221"
"north west","Public Health","1779243"
"gauteng","Public Health","5807147"
"mpumalanga","Private Health","405269"
"mpumalanga","Public Health","1911495"
"northern cape","Private Health","157435"
"eastern cape","Private Health","691368"
"western cape","Public Health","3666637"
"limpopo","Public Health","3122815"
"free state","Private Health","398753"
"eastern cape","Public Health","3506946"
