"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","891527"
"Janssen Vaccines & Prevention B.V","free state","Adults","475078"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1483686"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1193724"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1052605"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","786965"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","209208"
"Janssen Vaccines & Prevention B.V","north west","Adults","697119"
"Janssen Vaccines & Prevention B.V","western cape","Adults","732585"
"Pfizer","eastern cape","12-17 Years","59695"
"Pfizer","eastern cape","Adults","1085489"
"Pfizer","free state","12-17 Years","62030"
"Pfizer","free state","Adults","570417"
"Pfizer","gauteng","12-17 Years","139779"
"Pfizer","gauteng","Adults","3289046"
"Pfizer","kwazulu-natal","12-17 Years","77769"
"Pfizer","kwazulu-natal","Adults","1573386"
"Pfizer","limpopo","12-17 Years","65519"
"Pfizer","limpopo","Adults","848245"
"Pfizer","mpumalanga","12-17 Years","31968"
"Pfizer","mpumalanga","Adults","450736"
"Pfizer","northern cape","12-17 Years","7769"
"Pfizer","northern cape","Adults","185847"
"Pfizer","north west","12-17 Years","41155"
"Pfizer","north west","Adults","521673"
"Pfizer","western cape","12-17 Years","48391"
"Pfizer","western cape","Adults","1827018"
