"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","512919"
"kwazulu-natal","Private Health","1186498"
"western cape","Private Health","1840106"
"limpopo","Private Health","571444"
"northern cape","Public Health","544873"
"gauteng","Private Health","4363696"
"kwazulu-natal","Public Health","4221840"
"free state","Public Health","1722014"
"north west","Public Health","1674195"
"gauteng","Public Health","5500391"
"mpumalanga","Private Health","384250"
"mpumalanga","Public Health","1723850"
"northern cape","Private Health","150291"
"eastern cape","Private Health","662226"
"western cape","Public Health","3539873"
"limpopo","Public Health","2880673"
"free state","Private Health","377395"
"eastern cape","Public Health","3201924"
