"vaccine_rollout_phase","province","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Private Health","Female","10678","4821","15499"
"National","eastern cape","Private Health","Male","8877","3684","12561"
"National","eastern cape","Public Health","Female","123645","30791","154436"
"National","eastern cape","Public Health","Male","99367","20399","119766"
"National","free state","Private Health","Female","8899","3920","12819"
"National","free state","Private Health","Male","7265","2986","10251"
"National","free state","Public Health","Female","78299","31928","110227"
"National","free state","Public Health","Male","66520","23196","89716"
"National","gauteng","Private Health","Female","54184","28441","82625"
"National","gauteng","Private Health","Male","49192","24090","73282"
"National","gauteng","Public Health","Female","148542","50332","198874"
"National","gauteng","Public Health","Male","117192","36916","154108"
"National","kwazulu-natal","Private Health","Female","17460","9303","26763"
"National","kwazulu-natal","Private Health","Male","15730","7835","23565"
"National","kwazulu-natal","Public Health","Female","124316","37695","162011"
"National","kwazulu-natal","Public Health","Male","84231","22936","107167"
"National","limpopo","Private Health","Female","10743","4469","15212"
"National","limpopo","Private Health","Male","8436","3207","11643"
"National","limpopo","Public Health","Female","116592","33050","149642"
"National","limpopo","Public Health","Male","97899","24793","122692"
"National","mpumalanga","Private Health","Female","4039","1596","5635"
"National","mpumalanga","Private Health","Male","3516","1375","4891"
"National","mpumalanga","Public Health","Female","65314","16836","82150"
"National","mpumalanga","Public Health","Male","54949","12161","67110"
"National","northern cape","Private Health","Female","2137","986","3123"
"National","northern cape","Private Health","Male","1938","728","2666"
"National","northern cape","Public Health","Female","12094","3458","15552"
"National","northern cape","Public Health","Male","9694","2597","12291"
"National","north west","Private Health","Female","5253","2313","7566"
"National","north west","Private Health","Male","4731","1933","6664"
"National","north west","Public Health","Female","73294","21502","94796"
"National","north west","Public Health","Male","60551","15407","75958"
"National","western cape","Private Health","Female","23677","11659","35336"
"National","western cape","Private Health","Male","21115","9919","31034"
"National","western cape","Public Health","Female","46595","14775","61370"
"National","western cape","Public Health","Male","38663","12038","50701"
