"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","920363"
"eastern cape","Pfizer","1351281"
"free state","Johnson & Johnson","488331"
"free state","Pfizer","680137"
"gauteng","Johnson & Johnson","1555905"
"gauteng","Pfizer","3931534"
"kwazulu-natal","Johnson & Johnson","1250848"
"kwazulu-natal","Pfizer","1998233"
"limpopo","Johnson & Johnson","1083514"
"limpopo","Pfizer","1051707"
"mpumalanga","Johnson & Johnson","833640"
"mpumalanga","Pfizer","580070"
"northern cape","Johnson & Johnson","216526"
"northern cape","Pfizer","228176"
"north west","Johnson & Johnson","715528"
"north west","Pfizer","626843"
"western cape","Johnson & Johnson","754035"
"western cape","Pfizer","2128857"
