"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","536937"
"kwazulu-natal","Private Health","1236439"
"western cape","Private Health","1921975"
"limpopo","Private Health","608445"
"northern cape","Public Health","608198"
"gauteng","Private Health","4572168"
"kwazulu-natal","Public Health","4660019"
"free state","Public Health","1863528"
"north west","Public Health","1784669"
"gauteng","Public Health","5833131"
"mpumalanga","Private Health","406312"
"mpumalanga","Public Health","1928045"
"northern cape","Private Health","157994"
"eastern cape","Private Health","694033"
"western cape","Public Health","3680667"
"limpopo","Public Health","3142200"
"free state","Private Health","400229"
"eastern cape","Public Health","3545280"
