"vaccine_rollout_phase","province","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Private Health","Female","10143","5061","15204"
"National","eastern cape","Private Health","Male","8589","3930","12519"
"National","eastern cape","Public Health","Female","150896","61942","212838"
"National","eastern cape","Public Health","Male","124928","45413","170341"
"National","free state","Private Health","Female","9106","4628","13734"
"National","free state","Private Health","Male","7510","3583","11093"
"National","free state","Public Health","Female","83114","41018","124132"
"National","free state","Public Health","Male","71218","30884","102102"
"National","gauteng","Private Health","Female","52565","30046","82611"
"National","gauteng","Private Health","Male","48307","25855","74162"
"National","gauteng","Public Health","Female","160530","65905","226435"
"National","gauteng","Public Health","Male","127138","48606","175744"
"National","kwazulu-natal","Private Health","Female","16585","9459","26044"
"National","kwazulu-natal","Private Health","Male","15109","8159","23268"
"National","kwazulu-natal","Public Health","Female","156888","72221","229109"
"National","kwazulu-natal","Public Health","Male","107046","43945","150991"
"National","limpopo","Private Health","Female","11759","5339","17098"
"National","limpopo","Private Health","Male","9129","3699","12828"
"National","limpopo","Public Health","Female","144708","51567","196275"
"National","limpopo","Public Health","Male","125017","38617","163634"
"National","mpumalanga","Private Health","Female","3880","1700","5580"
"National","mpumalanga","Private Health","Male","3398","1510","4908"
"National","mpumalanga","Public Health","Female","77468","29259","106727"
"National","mpumalanga","Public Health","Male","63709","20106","83815"
"National","northern cape","Private Health","Female","2093","1046","3139"
"National","northern cape","Private Health","Male","1915","817","2732"
"National","northern cape","Public Health","Female","18268","7485","25753"
"National","northern cape","Public Health","Male","14349","5483","19832"
"National","north west","Private Health","Female","5094","2405","7499"
"National","north west","Private Health","Male","4631","2026","6657"
"National","north west","Public Health","Female","77418","27876","105294"
"National","north west","Public Health","Male","64280","20454","84734"
"National","western cape","Private Health","Female","22927","12590","35517"
"National","western cape","Private Health","Male","20786","10912","31698"
"National","western cape","Public Health","Female","48382","16847","65229"
"National","western cape","Public Health","Male","40516","13855","54371"
