"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","920508"
"Janssen Vaccines & Prevention B.V","free state","Adults","488440"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1556760"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1251397"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1083822"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","834056"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","216627"
"Janssen Vaccines & Prevention B.V","north west","Adults","715709"
"Janssen Vaccines & Prevention B.V","western cape","Adults","754324"
"Pfizer","eastern cape","12-17 Years","116832"
"Pfizer","eastern cape","Adults","1138914"
"Pfizer","free state","12-17 Years","80091"
"Pfizer","free state","Adults","598691"
"Pfizer","gauteng","12-17 Years","170260"
"Pfizer","gauteng","Adults","3410582"
"Pfizer","kwazulu-natal","12-17 Years","133839"
"Pfizer","kwazulu-natal","Adults","1665271"
"Pfizer","limpopo","12-17 Years","99518"
"Pfizer","limpopo","Adults","884701"
"Pfizer","mpumalanga","12-17 Years","53076"
"Pfizer","mpumalanga","Adults","478510"
"Pfizer","northern cape","12-17 Years","14952"
"Pfizer","northern cape","Adults","195176"
"Pfizer","north west","12-17 Years","52700"
"Pfizer","north west","Adults","542427"
"Pfizer","western cape","12-17 Years","54273"
"Pfizer","western cape","Adults","1871480"
