"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","537039"
"kwazulu-natal","Private Health","1236680"
"western cape","Private Health","1922170"
"limpopo","Private Health","608763"
"northern cape","Public Health","608778"
"gauteng","Private Health","4573364"
"kwazulu-natal","Public Health","4662860"
"free state","Public Health","1864835"
"north west","Public Health","1785527"
"gauteng","Public Health","5836414"
"mpumalanga","Private Health","406356"
"mpumalanga","Public Health","1930174"
"northern cape","Private Health","158055"
"eastern cape","Private Health","694150"
"western cape","Public Health","3682475"
"limpopo","Public Health","3144528"
"free state","Private Health","400370"
"eastern cape","Public Health","3548246"
