"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","101"
"eastern cape","Public Health","2853"
"free state","Private Health","39"
"free state","Public Health","792"
"gauteng","Private Health","674"
"gauteng","Public Health","1284"
"kwazulu-natal","Private Health","172"
"kwazulu-natal","Public Health","2070"
"limpopo","Private Health","223"
"limpopo","Public Health","1129"
"mpumalanga","Private Health","134"
"mpumalanga","Public Health","1230"
"northern cape","Private Health","31"
"northern cape","Public Health","61"
"north west","Private Health","73"
"north west","Public Health","185"
"western cape","Private Health","208"
"western cape","Public Health","614"
