"vaccine_manufacturer","province","age_group","total_number_first_doses_administered_last_24_hours","total_number_second_doses_administered_last_24_hours","total_number_booster_doses_administered_last_24_hours","total_number_doses_administered_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","148","0","298","446"
"Janssen Vaccines & Prevention B.V","free state","Adults","52","0","142","194"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","320","0","223","543"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","308","0","215","523"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","139","0","249","388"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","212","0","313","525"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","15","0","8","23"
"Janssen Vaccines & Prevention B.V","north west","Adults","43","0","59","102"
"Janssen Vaccines & Prevention B.V","western cape","Adults","78","0","77","155"
"Pfizer","eastern cape","12-17 Years","676","826","0","1502"
"Pfizer","eastern cape","Adults","214","297","495","1006"
"Pfizer","free state","12-17 Years","60","92","0","152"
"Pfizer","free state","Adults","110","151","224","485"
"Pfizer","gauteng","12-17 Years","58","103","0","161"
"Pfizer","gauteng","Adults","358","395","501","1254"
"Pfizer","kwazulu-natal","12-17 Years","320","511","0","831"
"Pfizer","kwazulu-natal","Adults","227","365","296","888"
"Pfizer","limpopo","12-17 Years","368","173","0","541"
"Pfizer","limpopo","Adults","109","182","132","423"
"Pfizer","mpumalanga","12-17 Years","146","137","0","283"
"Pfizer","mpumalanga","Adults","125","187","244","556"
"Pfizer","northern cape","12-17 Years","1","27","0","28"
"Pfizer","northern cape","Adults","20","9","12","41"
"Pfizer","north west","12-17 Years","16","8","0","24"
"Pfizer","north west","Adults","29","39","64","132"
"Pfizer","western cape","12-17 Years","162","21","0","183"
"Pfizer","western cape","Adults","129","124","231","484"
