"vaccine_rollout_phase","province","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Private Health","Female","10659","5039","15698"
"National","eastern cape","Private Health","Male","8915","3874","12789"
"National","eastern cape","Public Health","Female","141763","45652","187415"
"National","eastern cape","Public Health","Male","115284","31360","146644"
"National","free state","Private Health","Female","9243","4324","13567"
"National","free state","Private Health","Male","7498","3306","10804"
"National","free state","Public Health","Female","83516","37967","121483"
"National","free state","Public Health","Male","71206","28257","99463"
"National","gauteng","Private Health","Female","54140","29438","83578"
"National","gauteng","Private Health","Male","49401","25052","74453"
"National","gauteng","Public Health","Female","160939","62361","223300"
"National","gauteng","Public Health","Male","126934","45343","172277"
"National","kwazulu-natal","Private Health","Female","17472","9609","27081"
"National","kwazulu-natal","Private Health","Male","15774","8124","23898"
"National","kwazulu-natal","Public Health","Female","147617","56411","204028"
"National","kwazulu-natal","Public Health","Male","100027","33806","133833"
"National","limpopo","Private Health","Female","11651","4949","16600"
"National","limpopo","Private Health","Male","9020","3465","12485"
"National","limpopo","Public Health","Female","133863","42690","176553"
"National","limpopo","Public Health","Male","113800","31759","145559"
"National","mpumalanga","Private Health","Female","4016","1665","5681"
"National","mpumalanga","Private Health","Male","3515","1451","4966"
"National","mpumalanga","Public Health","Female","73827","22786","96613"
"National","mpumalanga","Public Health","Male","61113","16080","77193"
"National","northern cape","Private Health","Female","2143","1028","3171"
"National","northern cape","Private Health","Male","1960","770","2730"
"National","northern cape","Public Health","Female","15997","4764","20761"
"National","northern cape","Public Health","Male","12592","3574","16166"
"National","north west","Private Health","Female","5304","2398","7702"
"National","north west","Private Health","Male","4779","1995","6774"
"National","north west","Public Health","Female","78352","26491","104843"
"National","north west","Public Health","Male","64734","18854","83588"
"National","western cape","Private Health","Female","23732","12206","35938"
"National","western cape","Private Health","Male","21272","10466","31738"
"National","western cape","Public Health","Female","47071","15434","62505"
"National","western cape","Public Health","Male","39076","12553","51629"
