"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","905473"
"eastern cape","Pfizer","1317540"
"free state","Johnson & Johnson","481405"
"free state","Pfizer","663451"
"gauteng","Johnson & Johnson","1513854"
"gauteng","Pfizer","3862882"
"kwazulu-natal","Johnson & Johnson","1217261"
"kwazulu-natal","Pfizer","1942221"
"limpopo","Johnson & Johnson","1067507"
"limpopo","Pfizer","1026516"
"mpumalanga","Johnson & Johnson","804877"
"mpumalanga","Pfizer","559913"
"northern cape","Johnson & Johnson","211955"
"northern cape","Pfizer","221211"
"north west","Johnson & Johnson","706263"
"north west","Pfizer","613156"
"western cape","Johnson & Johnson","741544"
"western cape","Pfizer","2103541"
