"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","526119"
"kwazulu-natal","Private Health","1209999"
"western cape","Private Health","1878727"
"limpopo","Private Health","588020"
"northern cape","Public Health","569745"
"gauteng","Private Health","4457966"
"kwazulu-natal","Public Health","4427447"
"free state","Public Health","1788057"
"north west","Public Health","1731828"
"gauteng","Public Health","5666262"
"mpumalanga","Private Health","392570"
"mpumalanga","Public Health","1807091"
"northern cape","Private Health","154069"
"eastern cape","Private Health","676892"
"western cape","Public Health","3600834"
"limpopo","Public Health","3012054"
"free state","Private Health","389121"
"eastern cape","Public Health","3354115"
