"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","21"
"eastern cape","Public Health","123"
"free state","Private Health","4"
"free state","Public Health","8"
"gauteng","Private Health","206"
"gauteng","Public Health","61"
"kwazulu-natal","Private Health","38"
"kwazulu-natal","Public Health","79"
"limpopo","Private Health","34"
"limpopo","Public Health","139"
"mpumalanga","Private Health","1"
"mpumalanga","Public Health","39"
"northern cape","Public Health","2"
"north west","Private Health","8"
"north west","Public Health","76"
"western cape","Private Health","87"
"western cape","Public Health","69"
