"province","health_sector","total_number_vaccines_administered"
"gauteng","","4"
"north west","Private Health","538159"
"kwazulu-natal","Private Health","1238076"
"western cape","Private Health","1924016"
"limpopo","Private Health","611222"
"northern cape","Public Health","614097"
"gauteng","Private Health","4584609"
"kwazulu-natal","Public Health","4689191"
"mpumalanga","","19"
"free state","Public Health","1875116"
"north west","Public Health","1796972"
"gauteng","Public Health","5872570"
"mpumalanga","Private Health","406878"
"mpumalanga","Public Health","1949785"
"western cape","","2"
"northern cape","Private Health","158387"
"eastern cape","Private Health","695260"
"western cape","Public Health","3697808"
"limpopo","Public Health","3173711"
"free state","Private Health","401950"
"eastern cape","Public Health","3590469"
