"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","535055"
"kwazulu-natal","Private Health","1232338"
"western cape","Private Health","1913507"
"limpopo","Private Health","603264"
"northern cape","Public Health","604439"
"gauteng","Private Health","4552015"
"kwazulu-natal","Public Health","4624969"
"free state","Public Health","1849388"
"north west","Public Health","1777959"
"gauteng","Public Health","5801577"
"mpumalanga","Private Health","404949"
"mpumalanga","Public Health","1907768"
"northern cape","Private Health","157109"
"eastern cape","Private Health","690606"
"western cape","Public Health","3663034"
"limpopo","Public Health","3117372"
"free state","Private Health","398513"
"eastern cape","Public Health","3497455"
