"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","532195"
"kwazulu-natal","Private Health","1223976"
"western cape","Private Health","1901445"
"limpopo","Private Health","596781"
"northern cape","Public Health","589642"
"gauteng","Private Health","4516673"
"kwazulu-natal","Public Health","4552328"
"free state","Public Health","1826324"
"north west","Public Health","1764649"
"gauteng","Public Health","5758527"
"mpumalanga","Private Health","399234"
"mpumalanga","Public Health","1866243"
"northern cape","Private Health","156061"
"eastern cape","Private Health","685133"
"western cape","Public Health","3639956"
"limpopo","Public Health","3085731"
"free state","Private Health","395206"
"eastern cape","Public Health","3438165"
