"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","913959"
"Janssen Vaccines & Prevention B.V","free state","Adults","485582"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1535362"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1233853"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1075937"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","820017"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","214389"
"Janssen Vaccines & Prevention B.V","north west","Adults","711546"
"Janssen Vaccines & Prevention B.V","western cape","Adults","747849"
"Pfizer","eastern cape","12-17 Years","95330"
"Pfizer","eastern cape","Adults","1118326"
"Pfizer","free state","12-17 Years","77670"
"Pfizer","free state","Adults","588182"
"Pfizer","gauteng","12-17 Years","169671"
"Pfizer","gauteng","Adults","3372563"
"Pfizer","kwazulu-natal","12-17 Years","120773"
"Pfizer","kwazulu-natal","Adults","1635952"
"Pfizer","limpopo","12-17 Years","91667"
"Pfizer","limpopo","Adults","872769"
"Pfizer","mpumalanga","12-17 Years","46315"
"Pfizer","mpumalanga","Adults","468202"
"Pfizer","northern cape","12-17 Years","11655"
"Pfizer","northern cape","Adults","192082"
"Pfizer","north west","12-17 Years","52525"
"Pfizer","north west","Adults","536789"
"Pfizer","western cape","12-17 Years","52413"
"Pfizer","western cape","Adults","1856635"
