"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","9"
"eastern cape","Public Health","1820"
"free state","Private Health","181"
"free state","Public Health","260"
"gauteng","Private Health","227"
"gauteng","Public Health","1670"
"kwazulu-natal","Private Health","31"
"kwazulu-natal","Public Health","572"
"limpopo","Private Health","74"
"limpopo","Public Health","742"
"mpumalanga","Private Health","1"
"mpumalanga","Public Health","428"
"northern cape","Public Health","171"
"north west","Private Health","20"
"north west","Public Health","429"
"western cape","Private Health","14"
"western cape","Public Health","681"
