"vaccine_manufacturer","province","age_group","total_number_first_doses_administered_last_24_hours","total_number_second_doses_administered_last_24_hours","total_number_booster_doses_administered_last_24_hours","total_number_doses_administered_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","218","0","172","390"
"Janssen Vaccines & Prevention B.V","free state","Adults","27","0","32","59"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","438","0","259","697"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","135","0","89","224"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","98","0","205","303"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","92","0","146","238"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","13","0","35","48"
"Janssen Vaccines & Prevention B.V","north west","Adults","50","0","148","198"
"Janssen Vaccines & Prevention B.V","western cape","Adults","116","0","101","217"
"Pfizer","eastern cape","12-17 Years","90","93","0","183"
"Pfizer","eastern cape","Adults","323","391","542","1256"
"Pfizer","free state","12-17 Years","29","124","0","153"
"Pfizer","free state","Adults","45","73","111","229"
"Pfizer","gauteng","12-17 Years","56","55","0","111"
"Pfizer","gauteng","Adults","283","347","459","1089"
"Pfizer","kwazulu-natal","12-17 Years","23","20","0","43"
"Pfizer","kwazulu-natal","Adults","122","114","100","336"
"Pfizer","limpopo","12-17 Years","88","36","0","124"
"Pfizer","limpopo","Adults","118","142","129","389"
"Pfizer","mpumalanga","12-17 Years","26","17","0","43"
"Pfizer","mpumalanga","Adults","34","53","61","148"
"Pfizer","northern cape","12-17 Years","42","3","0","45"
"Pfizer","northern cape","Adults","25","40","13","78"
"Pfizer","north west","12-17 Years","8","36","0","44"
"Pfizer","north west","Adults","71","68","68","207"
"Pfizer","western cape","12-17 Years","44","94","0","138"
"Pfizer","western cape","Adults","76","107","157","340"
