"province","health_sector","total_number_vaccines_administered"
"gauteng","","4"
"north west","Private Health","537974"
"kwazulu-natal","Private Health","1237927"
"western cape","Private Health","1923856"
"limpopo","Private Health","610999"
"northern cape","Public Health","613002"
"gauteng","Private Health","4582966"
"kwazulu-natal","Public Health","4684992"
"mpumalanga","","19"
"free state","Public Health","1873433"
"north west","Public Health","1794649"
"gauteng","Public Health","5866019"
"mpumalanga","Private Health","406860"
"mpumalanga","Public Health","1946291"
"western cape","","2"
"northern cape","Private Health","158348"
"eastern cape","Private Health","695164"
"western cape","Public Health","3695207"
"limpopo","Public Health","3169240"
"free state","Private Health","401857"
"eastern cape","Public Health","3584559"
