"vaccine_rollout_phase","province","district","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Amathole DM","Private Health","Female","152","37","189"
"National","eastern cape","Amathole DM","Private Health","Male","95","18","113"
"National","eastern cape","Amathole DM","Public Health","Female","14145","5049","19194"
"National","eastern cape","Amathole DM","Public Health","Male","12028","4193","16221"
"National","eastern cape","A Nzo DM","Public Health","Female","31187","15601","46788"
"National","eastern cape","A Nzo DM","Public Health","Male","27228","11844","39072"
"National","eastern cape","Buffalo City MM","Private Health","Female","2859","1179","4038"
"National","eastern cape","Buffalo City MM","Private Health","Male","2326","897","3223"
"National","eastern cape","Buffalo City MM","Public Health","Female","16234","9303","25537"
"National","eastern cape","Buffalo City MM","Public Health","Male","12622","6407","19029"
"National","eastern cape","C Hani DM","Private Health","Female","223","106","329"
"National","eastern cape","C Hani DM","Private Health","Male","157","77","234"
"National","eastern cape","C Hani DM","Public Health","Female","13911","3627","17538"
"National","eastern cape","C Hani DM","Public Health","Male","11179","2641","13820"
"National","eastern cape","Joe Gqabi DM","Private Health","Female","659","365","1024"
"National","eastern cape","Joe Gqabi DM","Private Health","Male","500","218","718"
"National","eastern cape","Joe Gqabi DM","Public Health","Female","7846","2728","10574"
"National","eastern cape","Joe Gqabi DM","Public Health","Male","7034","2205","9239"
"National","eastern cape","N Mandela Bay MM","Private Health","Female","4085","2052","6137"
"National","eastern cape","N Mandela Bay MM","Private Health","Male","3698","1714","5412"
"National","eastern cape","N Mandela Bay MM","Public Health","Female","15592","6370","21962"
"National","eastern cape","N Mandela Bay MM","Public Health","Male","12154","4484","16638"
"National","eastern cape","O Tambo DM","Private Health","Female","313","122","435"
"National","eastern cape","O Tambo DM","Private Health","Male","251","112","363"
"National","eastern cape","O Tambo DM","Public Health","Female","43735","16868","60603"
"National","eastern cape","O Tambo DM","Public Health","Male","36580","12568","49148"
"National","eastern cape","Sarah Baartman DM","Private Health","Female","1579","1084","2663"
"National","eastern cape","Sarah Baartman DM","Private Health","Male","1373","821","2194"
"National","eastern cape","Sarah Baartman DM","Public Health","Female","9614","5367","14981"
"National","eastern cape","Sarah Baartman DM","Public Health","Male","8069","3987","12056"
"National","free state","Fezile Dabi DM","Private Health","Female","471","342","813"
"National","free state","Fezile Dabi DM","Private Health","Male","448","285","733"
"National","free state","Fezile Dabi DM","Public Health","Female","13239","5031","18270"
"National","free state","Fezile Dabi DM","Public Health","Male","10790","3648","14438"
"National","free state","Lejweleputswa DM","Private Health","Female","3792","1458","5250"
"National","free state","Lejweleputswa DM","Private Health","Male","3027","1095","4122"
"National","free state","Lejweleputswa DM","Public Health","Female","14097","5298","19395"
"National","free state","Lejweleputswa DM","Public Health","Male","12086","3735","15821"
"National","free state","Mangaung MM","Private Health","Female","2960","1888","4848"
"National","free state","Mangaung MM","Private Health","Male","2437","1433","3870"
"National","free state","Mangaung MM","Public Health","Female","23512","13876","37388"
"National","free state","Mangaung MM","Public Health","Male","20991","11187","32178"
"National","free state","T Mofutsanyana DM","Private Health","Female","1859","1133","2992"
"National","free state","T Mofutsanyana DM","Private Health","Male","1589","919","2508"
"National","free state","T Mofutsanyana DM","Public Health","Female","26870","15428","42298"
"National","free state","T Mofutsanyana DM","Public Health","Male","23072","11598","34670"
"National","free state","Xhariep DM","Public Health","Female","4277","1189","5466"
"National","free state","Xhariep DM","Public Health","Male","3503","799","4302"
"National","gauteng","Ekurhuleni MM","Private Health","Female","10817","6595","17412"
"National","gauteng","Ekurhuleni MM","Private Health","Male","9989","5626","15615"
