"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","6"
"eastern cape","Public Health","289"
"free state","Private Health","19"
"gauteng","Private Health","316"
"gauteng","Public Health","830"
"kwazulu-natal","Private Health","97"
"kwazulu-natal","Public Health","831"
"limpopo","Private Health","103"
"limpopo","Public Health","29"
"mpumalanga","Private Health","6"
"mpumalanga","Public Health","60"
"north west","Private Health","18"
"north west","Public Health","738"
"western cape","Private Health","16"
"western cape","Public Health","17"
